operador,central_electrica,fuente_de_energia_electrica,provincia,canton,distrito,codigo_dta,x,y
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,PIRRIS,HIDRICA,SAN JOSE,ASERRI,LEGUA,10605,478245.3572000005,1064995.7491999995
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,RIO MACHO,HIDRICA,CARTAGO,PARAISO,OROSI,30203,517366.1853,1080928.7119999994
COOPERATIVA DE ELECTRIFICACION RURAL LOS SANTOS R.L.,LOS SANTOS,EOLICA,SAN JOSE,DESAMPARADOS,SAN CRISTOBAL,10308,500646.62990000006,1081332.6490000002
JUNTA ADMINISTRATIVA DEL SERVICIO ELECTRICO MUNICIPAL DE CARTAGO,BARRO MORADO,HIDRICA,CARTAGO,CARTAGO,AGUACALIENTE O SAN FRANCISCO,30105,511833.58160000015,1086641.8959999995
JUNTA ADMINISTRATIVA DEL SERVICIO ELECTRICO MUNICIPAL DE CARTAGO,TUIS,HIDRICA,CARTAGO,TURRIALBA,TUIS,30507,546945.2852999996,1087182.0539999995
JUNTA ADMINISTRATIVA DEL SERVICIO ELECTRICO MUNICIPAL DE CARTAGO,BIRRIS I,HIDRICA,CARTAGO,PARAISO,SANTIAGO,30202,524409.3108000001,1090933.3929999992
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,CACHI,HIDRICA,CARTAGO,JIMENEZ,TUCURRIQUE,30402,527023.4928000001,1091412.8509999998
COMPANIA NACIONAL DE FUERZA Y LUZ S.A.,P.E VALLE CENTRAL,EOLICA,SAN JOSE,MORA,QUITIRRISI,10707,478191.4419,1093820.7025000006
JUNTA ADMINISTRATIVA DEL SERVICIO ELECTRICO MUNICIPAL DE CARTAGO,BIRRIS III,HIDRICA,CARTAGO,ALVARADO,CAPELLADES,30603,523374.5488999998,1094066.9059999995
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,OROTINA,COMBUSTIBLES FOSILES,ALAJUELA,OROTINA,LA CEIBA,20905,426289.1147999996,1095474.386499999
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ANGOSTURA,HIDRICA,CARTAGO,TURRIALBA,PAVONES,30506,539499.7142000003,1097459.7019999996
COMPANIA NACIONAL DE FUERZA Y LUZ S.A.,VENTANAS,HIDRICA,ALAJUELA,ALAJUELA,GUACIMA,20105,466687.8334999997,1097536.7553000003
COMPANIA NACIONAL DE FUERZA Y LUZ S.A.,ANONOS,HIDRICA,SAN JOSE,SAN JOSE,MATA REDONDA,10108,487022.4349999996,1098193.3729999997
COMPANIA NACIONAL DE FUERZA Y LUZ S.A.,RIO SEGUNDO,HIDRICA,ALAJUELA,ALAJUELA,RIO SEGUNDO,20109,480217.5061999997,1105914.1092000008
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,VENTANAS GARITA,HIDRICA,ALAJUELA,ALAJUELA,TURRUCARES,20111,460602.1712999996,1098499.3090000004
COMPANIA NACIONAL DE FUERZA Y LUZ S.A.,BRASIL,HIDRICA,SAN JOSE,SANTA ANA,BRASIL,10906,474254.40699999966,1099172.3397000004
HIDROELECTRICA RIO LAJAS S.A.,HIDROELECTRICA RIO LAJAS,HIDRICA,CARTAGO,TURRIALBA,SANTA TERESITA,30505,540198.7392999995,1099460.522
COMPANIA NACIONAL DE FUERZA Y LUZ S.A.,BELEN,HIDRICA,SAN JOSE,SANTA ANA,POZOS,10903,476727.3887,1101393.053200001
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,SAN ANTONIO GAS,COMBUSTIBLES FOSILES,SAN JOSE,SAN JOSE,URUCA,10107,482183.16220000014,1101926.7588
COMPANIA NACIONAL DE FUERZA Y LUZ S.A.,ELECTRIONA,HIDRICA,SAN JOSE,SAN JOSE,URUCA,10107,480436.93759999983,1102371.6860000007
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,MOIN GAS II,COMBUSTIBLES FOSILES,LIMON,LIMON,RIO BLANCO,70103,598679.4463999998,1105086.9729999993
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,MOIN GAS III,COMBUSTIBLES FOSILES,LIMON,LIMON,RIO BLANCO,70103,598690.0261000004,1105161.08
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,BARRANCA,COMBUSTIBLES FOSILES,PUNTARENAS,PUNTARENAS,BARRANCA,60108,421604.5859000003,1105217.216
EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.,TACARES,HIDRICA,ALAJUELA,GRECIA,TACARES,20305,462802.3639000002,1105855.5390000008
EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.,JORGE MANUEL DENGO,HIDRICA,ALAJUELA,POAS,CARRILLOS,20804,470960.1969999997,1109095.3489999997
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ECHANDI,HIDRICA,ALAJUELA,SAN RAMON,PIEDADES SUR,20205,440541.7240000004,1111824.0820000004
INSTITUTO COSTARRICENSE DE ELECTRICIDAD,REVENTAZON,HIDRICA,LIMON,SIQUIRRES,SIQUIRRES,70301,548950.8952000001,1115093.1150000002
COMPANIA NACIONAL DE FUERZA Y LUZ S.A.,EL ENCANTO,HIDRICA,PUNTARENAS,MONTES DE ORO,LA UNION,60402,416808.9338999996,1122956.897
